	автор	тонкий	толстый	мелкий	крупный	густой	легкий	широкий	узкий	тесный	просторный	сильный	тяжёлый	большой
лист бумаги	тонкий/толстый	1	1					1	1					1
слой (пыли)	тонкий/толстый	1	1	1	1	1	1	1	1				1	1
ткань	толстая/тонкая	1	1				1						1	
книга	толстая/тонкая	1	1		1								1	1
стена	толстая/тонкая	1	1					1	1					1
столб	толстый/тонкий							1	1					1
ствол дерева	толстый/тонкий	1	1	1	1			1	1				1	1
ветка	толстая/тонкая	1	1	1	1		1	1	1				1	1
палка	толстая/тонкая	1	1	1	1			1	1				1	1
веревка	толстая/тонкая	1	1				1	1	1					1
волосы	толстые/тонкие	1				1							1	
дудка	толстая/тонкая	1		1	1									1
песок	мелкий/крупный												1	
туман	густой/легкий					1	1					1	1	1
дождь	мелкий/сильный			1			1					1		1
каша	густая/жидкая					1								
лес	густой/редкий					1		1						1
человек	толстый/тонкий	1	1	1	1		1	1	1			1	1	1
тесьма	широкая/узкая	1	1		1		1	1	1					1
доска	широка/узкая	1	1		1			1	1				1	1
дорога	широкая/узкая							1	1		1			1
окно	широкое/узкое							1	1					1
поле	широкое							1			1			1
горлышко бутылки	широкое/узкое	1						1	1					1
коридор	широкий/узкий							1	1	1	1			1
улица	широкая/узкая							1	1	1	1			1
труба 	широкая/узкая	1						1	1	1			1	1
юбка	широкая/узкая						1	1	1	1	1			1
туфли	широкие/узкие						1	1	1	1	1			1
мне ___ туфли	широки/узки							1	1	1				1
комната	тесная/просторная				1			1		1	1			1
кровать	тесная/просторная							1	1		1		1	1
